epoch,step,dev_acc,test_acc
0,133,0.3849,0.382
1,266,0.407,0.4085
2,399,0.4292,0.4287
3,532,0.4455,0.4416
4,665,0.4406,0.4392
5,798,0.4529,0.4367
6,931,0.4857,0.4706
7,1064,0.5446,0.5302
8,1197,0.5659,0.5415
9,1330,0.5782,0.5488
10,1463,0.593,0.5681
11,1596,0.5938,0.5624
12,1729,0.6118,0.5673
13,1862,0.602,0.5761
14,1995,0.6126,0.5778
